timestamp,latitude,longitude,elevation,accuracy,bearing,speed_meters_per_second,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation,distance_meters,elapsed_time_seconds
1577306643,-27.717853,-51.0988335,980.1305479,4,229.91707,1.4070034,14,gps,0.8,1.4,1.6,3.6,,,,97,,0,0
1577306645,-27.71786371,-51.09886054,980.1002848,4,252.49628,1.2899922,14,gps,0.8,1.3,1.5,3.6,,,,97,,2.918860391,2
1577306646,-27.7178622,-51.09887269,980.2027377,4,267.9006,1.2031494,15,gps,0.8,1.4,1.6,3.6,,,,97,,1.20940211,1
1577306647,-27.71786127,-51.09888554,980.3639462,4,278.08466,1.1009204,15,gps,0.8,1.4,1.6,3.6,,,,97,,1.271521745,1
1577306649,-27.71785355,-51.09890137,979.8268707,4,290.95395,1.1169481,14,gps,0.8,1.4,1.6,3.6,,,,97,,1.780105495,2
1577306650,-27.71785263,-51.09890058,979.6453401,6,279.92368,0.35544685,14,gps,0.8,1.4,1.6,3.6,,,,97,,0.129331489,1
1577306651,-27.71785119,-51.09889307,979.5793052,4,222.23973,0.08387315,14,gps,0.8,1.4,1.6,3.6,,,,97,,0.757557147,1
1577306652,-27.71785149,-51.09888662,979.7701424,4,132.51106,0.30850878,14,gps,0.8,1.4,1.6,3.6,,,,97,,0.636697332,1
1577306653,-27.71785249,-51.09887687,980.1084957,4,113.20174,0.76512283,14,gps,0.8,1.4,1.6,3.6,,,,97,,0.967646021,1
1577306654,-27.71785366,-51.09886936,980.2828658,4,100.133835,0.7643647,14,gps,0.8,1.4,1.6,3.6,,,,97,,0.75192978,1
1577306655,-27.71785407,-51.09886536,980.5698672,4,102.83667,0.75129676,14,gps,0.8,1.4,1.6,3.6,,,,97,,0.39699339,1
1577306656,-27.7178545,-51.09886391,980.9422879,4,106.46656,0.56617117,14,gps,0.8,1.4,1.6,3.6,,,,97,,0.151332333,1
1577306657,-27.71785435,-51.09886334,981.196574,4,106.61295,0.3461472,14,gps,0.8,1.4,1.6,3.6,,,,97,,0.058700011,1
1577306658,-27.71785353,-51.09886441,981.1980596,4,91.9061,0.22557996,14,gps,0.8,1.4,1.6,3.6,,,,97,,0.140036693,1
1577306660,-27.7178532,-51.09886501,981.2397995,4,91.90253,0.0838103,14,gps,0.8,1.4,1.6,3.6,,,,97,,0.069275164,2
1577306661,-27.71785531,-51.09886523,981.0420892,4,91.90302,0.04943016,14,gps,0.8,1.4,1.6,3.6,,,,97,,0.234511221,1
1577306663,-27.71785524,-51.09886444,980.8931175,4,91.90268,0.025005477,14,gps,0.8,1.4,1.6,3.6,,,,97,,0.077849265,2
1577306664,-27.71785546,-51.09886365,980.7185446,4,91.90299,0.018383428,14,gps,0.8,1.5,1.7,3.6,,,,97,,0.081593895,1
1577306665,-27.71785513,-51.09886313,980.5205878,4,91.90456,0.02598363,14,gps,0.8,1.4,1.6,3.6,,,,97,,0.062903271,1
1577306666,-27.71785527,-51.09886218,980.3000047,4,91.90029,0.03331669,14,gps,0.8,1.4,1.6,3.6,,,,97,,0.095376272,1
1577306667,-27.71785555,-51.09886364,980.3617652,4,127.08137,0.1194552,14,gps,0.8,1.4,1.6,3.6,,,,97,,0.147422249,1
1577306668,-27.71785551,-51.09886121,980.4394452,4,127.1349,0.16339764,14,gps,0.8,1.4,1.6,3.6,,,,97,,0.239902705,1
1577306669,-27.71785251,-51.0988604,980.3879492,4,123.81107,0.14946522,14,gps,0.8,1.4,1.6,3.6,,,,97,,0.341510693,1
1577306670,-27.71785158,-51.09886079,980.472304,4,123.80834,0.08909343,14,gps,0.8,1.4,1.6,3.6,,,,97,,0.109871184,1
1577306671,-27.71784925,-51.09886214,980.4807783,4,120.56897,0.07273322,14,gps,0.8,1.4,1.6,3.6,,,,97,,0.290669018,1
1577306672,-27.71784823,-51.09886516,980.4698118,4,120.57185,0.05155265,13,gps,0.8,1.4,1.6,3.6,,,,97,,0.31821024,1
1577306674,-27.71784741,-51.09886579,980.6839785,4,117.291084,0.051025234,13,gps,0.8,1.4,1.6,3.6,,,,96,,0.110519992,2
1577306675,-27.71784815,-51.09886572,980.5565885,4,118.82267,0.04589992,13,gps,0.8,1.4,1.6,3.6,,,,96,,0.083217962,1
1577306676,-27.71784818,-51.09886607,980.5735667,4,118.94377,0.051770464,14,gps,0.8,1.4,1.6,3.6,,,,96,,0.034452752,1
1577306677,-27.71784794,-51.09886622,980.5646463,4,118.94365,0.036604878,14,gps,0.8,1.4,1.6,3.6,,,,96,,0.030137902,1
1577306678,-27.7178487,-51.0988668,980.5384551,4,118.944824,0.03293666,14,gps,0.8,1.4,1.6,3.6,,,,96,,0.10186905,1
1577306679,-27.71784931,-51.09886863,980.572207,4,118.94576,0.02555361,14,gps,0.8,1.4,1.6,3.6,,,,96,,0.192830053,1
1577306680,-27.71784954,-51.09886854,980.5510777,4,118.94481,0.021040447,14,gps,0.8,1.4,1.6,3.6,,,,96,,0.026703726,1
1577306681,-27.71785243,-51.09887065,980.3231681,4,118.94792,0.01361039,15,gps,0.8,1.4,1.6,3.6,,,,96,,0.382392441,1
1577306682,-27.71785494,-51.09887176,980.1720698,4,118.950165,0.013602622,15,gps,0.8,1.4,1.6,3.6,,,,96,,0.298590079,1
1577306683,-27.71785665,-51.09887256,979.9682137,4,118.944374,0.010931855,15,gps,0.8,1.4,1.6,3.6,,,,96,,0.205326479,1
1577306684,-27.71785632,-51.09887479,979.7771296,4,118.943535,0.007242899,15,gps,0.8,1.4,1.6,3.6,,,,96,,0.222911712,1
