time_seconds,speed_meters_per_second,acceleration_meters_per_second_squared
0,0.11275617,0
1.006999808,0.18843772,0.075155476
2.005000192,0.19267002,0.00424078
3.005000192,0,-0.19267002
4.005000192,0,0
5.107000064,0,0
6.107000064,0,0
7.107000064,0,0
8.107000064,0,0
10.10700006,0,0
11.10700006,0,0
12.10700006,0,0
13.10700006,0,0
14.10700006,0,0
15.10700006,0,0
16.10700006,0,0
17.10700006,0,0
18.10700006,0,0
19.10700006,0,0
20.10700006,0,0
21.10700006,0,0
22.10700006,0,0
23.10700006,0,0
24.10700006,0,0
25.10700006,0,0
26.10700006,0,0
27.10700006,0,0
28.10700006,0,0
29.10700006,0,0
30.10700006,0,0
31.10700006,0,0
33.10700006,0,0
34.10700006,0,0
35.10700006,0,0
37.10700006,0,0
38.10700006,0,0
40.10700006,0,0
41.10700006,0,0
43.10700006,0,0
44.10700006,0,0
46.10700006,0,0
47.10700006,0,0
48.10700006,0,0
49.10700006,0,0
50.10700006,0,0
51.10700006,0,0
52.10700006,0,0
53.10700006,0,0
54.10700006,0,0
55.10700006,0,0
56.10700006,0,0
57.10700006,0,0
59.10700006,0,0
60.10700006,0,0
62.10700006,0,0
63.10700006,0,0
64.10700006,0,0
66.10700006,0,0
67.10700006,0,0
69.10700006,0,0
70.10700006,0,0
72.10700006,0,0
73.10700006,0,0
75.10700006,0,0
76.10700006,0,0
77.10700006,0,0
79.10700006,0,0
80.10700006,0,0
82.10700006,0,0
83.10700006,0,0
85.10700006,0,0
86.10700006,0,0
88.10700006,0,0
89.10700006,0,0
91.10700006,0,0
92.10700006,0,0
93.10700006,0,0
95.10700006,0,0
96.10700006,0,0
98.10700006,0,0
99.10700006,0,0
100.1070001,0,0
102.1070001,0,0
103.1070001,0,0
105.1070001,0,0
106.1070001,0,0
108.1070001,0,0
109.1070001,0,0
111.1070001,0,0
112.1070001,0,0
118.1070001,0,0
119.1070001,0,0
120.1070001,0,0
121.1070001,0,0
122.1070001,0,0
123.1070001,0,0
124.1070001,0,0
125.1070001,0,0
126.1070001,0,0
127.1070001,0,0
129.1070001,0,0
130.1070001,0,0
132.1070001,0,0
133.1070001,0,0
134.1070001,0,0
136.1070001,0,0
138.1070001,0,0
139.1070001,0,0
141.1070001,0,0
142.1070001,0,0
144.1070001,0,0
145.1070001,0,0
146.1070001,0,0
148.1070001,0,0
149.1070001,0,0
151.1070001,0,0
152.1070001,0,0
154.1070001,0,0
155.1070001,0,0
157.1070001,0,0
158.1070001,0,0
159.1070001,0,0
161.1070001,0,0
162.1070001,2.3837693,2.3837693
164.1070001,3.5393398,0.57778525
165.1070001,3.673424,0.1340842
171.1070001,9.187855,0.919071833
172.1070001,10.269003,1.081148
173.1070001,11.294865,1.025862
174.1070001,11.856025,0.56116
175.1070001,11.403821,-0.452204
176.1070001,11.3708935,-0.0329275
177.1070001,11.857646,0.4867525
178.1070001,12.423086,0.56544
179.1070001,13.005783,0.582697
180.1070001,13.55778,0.551997
181.1070001,14.1008625,0.5430825
182.1070001,14.641159,0.5402965
184.1070001,15.375161,0.367001
185.1070001,14.914334,-0.460827
186.1070001,15.090968,0.176634
187.1070001,15.389488,0.29852
188.1070001,15.660133,0.270645
189.1070001,15.916226,0.256093
190.1070001,16.023739,0.107513
191.1070001,16.199415,0.175676
192.1070001,15.986588,-0.212827
193.1070001,15.334344,-0.652244
194.1070001,13.9807,-1.353644
195.1070001,11.430175,-2.550525
196.1070001,8.769037,-2.661138
197.1070001,6.261847,-2.50719
198.1070001,4.673088,-1.588759
199.1070001,3.5932772,-1.0798108
200.1070001,2.485882,-1.1073952
201.1070001,1.7775124,-0.7083696
202.1070001,1.5257163,-0.2517961
203.1070001,2.1842365,0.6585202
204.1070001,3.3660069,1.1817704
205.1070001,3.7308145,0.3648076
206.1070001,4.0644665,0.333652
207.1070001,4.3270197,0.2625532
208.1070001,4.5590887,0.232069
209.1070001,4.852612,0.2935233
210.1070001,4.9932094,0.1405974
211.1070001,5.0786304,0.085421
212.1070001,5.235702,0.1570716
214.1070001,6.332429,0.5483635
215.1070001,6.2252135,-0.1072155
216.1070001,5.6568484,-0.5683651
217.1070001,5.2193875,-0.4374609
218.1070001,4.975412,-0.2439755
219.1070001,4.735969,-0.239443
220.1070001,5.2155185,0.4795495
221.1070001,5.3909893,0.1754708
222.1070001,5.9054246,0.5144353
223.1070001,5.8514166,-0.054008
224.1070001,5.4506507,-0.4007659
225.1070001,5.116488,-0.3341627
226.1070001,5.1424017,0.0259137
227.1070001,5.52287,0.3804683
228.1070001,6.12644,0.60357
229.1070001,6.43702,0.31058
230.1070001,7.223235,0.786215
231.1070001,7.6428037,0.4195687
232.1070001,7.584785,-0.0580187
234.1070001,7.4479957,-0.06839465
235.1070001,7.457198,0.0092023
236.1070001,7.019793,-0.437405
237.1070001,6.5533643,-0.4664287
238.1070001,6.2268405,-0.3265238
239.1070001,6.073172,-0.1536685
240.1070001,5.485682,-0.58749
241.1070001,5.030244,-0.455438
242.1070001,4.9253063,-0.1049377
243.1070001,5.1613455,0.2360392
244.1070001,5.425085,0.2637395
245.1070001,5.6936045,0.2685195
246.1070001,5.8945017,0.2008972
247.1070001,5.8694205,-0.0250812
248.1070001,5.716533,-0.1528875
249.1070001,5.7392006,0.0226676
250.1070001,5.7886214,0.0494208
251.1070001,5.8134747,0.0248533
252.1070001,5.8476763,0.0342016
253.1070001,5.8812695,0.0335932
254.1070001,6.080256,0.1989865
255.1070001,6.019704,-0.060552
256.1070001,6.0217986,0.0020946
257.1070001,6.059507,0.0377084
258.1070001,5.725319,-0.334188
259.1070001,5.98784,0.262521
260.1070001,5.743155,-0.244685
261.1070001,5.450885,-0.29227
263.1070001,5.1716394,-0.1396228
264.1070001,5.0933533,-0.0782861
265.1070001,4.9873753,-0.105978
266.1070001,4.8349686,-0.1524067
267.1070001,4.67973,-0.1552386
268.1070001,4.5492983,-0.1304317
269.1070001,4.622802,0.0735037
270.1070001,4.350771,-0.272031
271.1070001,4.490402,0.139631
272.1070001,4.5521674,0.0617654
273.1070001,4.726043,0.1738756
274.1070001,5.0609827,0.3349397
275.1070001,5.8115544,0.7505717
276.1070001,6.298257,0.4867026
277.1070001,6.5957227,0.2974657
278.1070001,7.1414137,0.545691
279.1070001,7.302027,0.1606133
280.1070001,7.1493597,-0.1526673
281.1070001,7.136215,-0.0131447
283.1070001,7.3184447,0.09111485
284.1070001,7.279227,-0.0392177
285.1070001,6.806444,-0.472783
286.1070001,5.9605145,-0.8459295
287.1070001,6.062248,0.1017335
288.1070001,6.2906933,0.2284453
289.1070001,6.2393765,-0.0513168
290.1070001,6.3625126,0.1231361
291.1070001,6.38039,0.0178774
292.1070001,6.6582,0.27781
293.1070001,6.7848554,0.1266554
294.1070001,7.224833,0.4399776
295.1070001,7.6403847,0.4155517
296.1070001,7.8514104,0.2110257
297.1070001,7.8376865,-0.0137239
298.1070001,7.573069,-0.2646175
299.1070001,7.367621,-0.205448
300.1070001,6.613696,-0.753925
301.1070001,5.300663,-1.313033
302.1070001,4.0190997,-1.2815633
303.1070001,2.9573011,-1.0617986
304.1070001,2.476382,-0.4809191
305.1070001,2.476492,0.00011
306.1070001,3.202384,0.725892
307.1070001,3.5947087,0.3923247
308.1070001,4.195319,0.6006103
