time_seconds,speed_meters_per_second,acceleration_meters_per_second_squared
0,2.029881,0
0.997000192,2.5612264,0.53294413
1.99900032,2.1211576,-0.439190363
2.99900032,0,-2.1211576
3.99900032,0,0
4.601000192,2.0647662,3.429844915
5.601000192,2.079765,0.0149988
6.601000192,2.050968,-0.028797
7.601000192,1.8866156,-0.1643524
8.601000192,1.0794866,-0.807129
9.601000192,0.5104665,-0.5690201
10.60100019,0.036646742,-0.473819758
11.60100019,0.03412628,-0.002520462
13.60100019,0.0174775,-0.00832439
14.60100019,0.028781272,0.011303772
15.60100019,0.05499321,0.026211938
16.60100019,0.010124322,-0.044868888
17.60100019,0.00676909,-0.003355232
18.60100019,0.014353497,0.007584407
19.60100019,0.023715634,0.009362137
20.60100019,0.048515968,0.024800334
21.60100019,0.01350547,-0.035010498
23.60100019,0.0541466,0.020320565
24.60100019,0.010241934,-0.043904666
25.60100019,0.021054037,0.010812103
26.60100019,0.05731921,0.036265173
27.60100019,0.001782082,-0.055537128
28.60100019,0.003901033,0.002118951
29.60100019,0.035148844,0.031247811
30.60100019,0.024343258,-0.010805586
31.60100019,0.011009998,-0.01333326
32.60100019,0.049434125,0.038424127
33.60100019,0.011944758,-0.037489367
34.60100019,0.009902557,-0.002042201
37.60100019,0.006044199,-0.001286119
38.60100019,0.020946836,0.014902637
39.60100019,0.015298159,-0.005648677
40.60100019,0.010670594,-0.004627565
41.60100019,0.01152817,0.000857576
42.60100019,0.008515466,-0.003012704
43.60100019,0.014854272,0.006338806
44.60100019,0.01018118,-0.004673092
45.60100019,0.019623693,0.009442513
48.60100019,0.03219531,0.004190539
49.60100019,0.021019775,-0.011175535
50.60100019,0.015310547,-0.005709228
51.60100019,0.013614615,-0.001695933
52.60100019,0.012647284,-0.000967331
53.60100019,0.010489755,-0.002157529
54.60100019,0.009872619,-0.000617136
55.60100019,0.008453878,-0.001418741
56.60100019,0.016879449,0.008425571
58.60100019,0.009860062,-0.003509694
59.60100019,0.009466855,-0.000393207
60.60100019,0.013121553,0.003654698
61.60100019,0.018294346,0.005172793
62.60100019,0.021392602,0.003098256
63.60100019,0.013917507,-0.007475095
64.60100019,0.011050595,-0.002866912
