time_seconds,speed_meters_per_second,acceleration_meters_per_second_squared
0,0.89111996,0
1.006999808,0.3338075,-0.553438497
2.006999808,0,-0.3338075
3.006999808,0,0
4.032,0,0
5.032,0,0
6.032,0,0
7.032,0,0
10.032,0,0
11.032,0,0
12.032,0,0
13.032,0,0
14.032,0,0
15.032,0,0
16.032,0,0
17.032,0,0
18.032,0,0
19.032,0,0
20.032,0,0
21.032,0,0
22.032,0,0
23.032,0,0
24.032,0,0
25.032,0,0
26.032,0,0
27.032,0,0
28.032,0,0
29.032,0,0
30.032,0,0
32.032,0,0
33.032,0,0
35.032,0,0
37.032,0,0
38.032,0,0
39.032,0,0
41.032,0,0
42.032,0,0
44.032,0,0
45.032,0,0
47.032,0,0
48.032,0,0
50.032,0,0
51.032,0,0
56.032,0,0
57.032,0,0
58.032,0,0
59.032,0,0
60.032,0,0
61.032,0,0
62.032,0,0
63.032,0,0
64.032,0,0
65.032,0,0
66.032,0,0
67.032,0,0
69.032,0,0
70.032,0,0
72.032,0,0
73.032,0,0
75.032,0,0
76.032,0,0
78.032,0,0
79.032,0,0
81.032,0,0
82.032,0,0
84.032,0,0
85.032,0,0
86.032,0,0
88.032,0,0
89.032,0,0
91.032,0,0
92.032,0,0
94.032,0,0
95.032,0,0
97.032,0,0
98.032,0,0
100.032,0,0
101.032,0,0
103.032,0,0
104.032,0,0
106.032,0,0
107.032,0,0
109.032,0,0
110.032,0,0
111.032,0,0
112.032,0,0
113.032,0,0
114.032,0,0
115.032,0,0
116.032,0,0
117.032,0,0
118.032,0,0
119.032,0,0
121.032,0,0
122.032,0,0
124.032,0,0
125.032,0,0
127.032,0,0
128.032,0,0
130.032,0,0
131.032,0,0
132.032,0,0
133.032,0,0
134.032,0,0
135.032,0,0
136.032,0,0
137.032,0,0
138.032,0,0
139.032,0,0
140.032,0,0
141.032,0,0
142.032,0,0
144.032,0,0
145.032,0,0
147.032,0,0
148.032,0,0
150.032,0,0
152.032,0,0
153.032,0,0
154.032,0,0
156.032,0,0
157.032,0,0
159.032,0,0
160.032,0,0
162.032,0,0
163.032,0,0
164.032,0,0
166.032,0,0
167.032,0,0
169.032,0,0
170.032,0,0
172.032,0,0
173.032,0,0
174.032,0,0
176.032,0,0
177.032,0,0
179.032,0,0
180.032,0,0
182.032,0,0
183.032,0,0
185.032,0,0
186.032,0,0
188.032,0,0
189.032,0,0
191.032,0,0
192.032,0,0
194.032,0,0
195.032,0,0
197.032,0,0
198.032,0,0
199.032,0,0
201.032,0,0
202.032,0,0
204.032,0,0
205.032,0,0
207.032,0,0
208.032,0,0
210.032,0,0
211.032,0,0
213.032,0,0
214.032,0,0
215.032,0,0
217.032,0,0
218.032,0,0
220.032,0,0
221.032,0,0
223.032,0,0
224.032,0,0
226.032,0,0
227.032,0,0
228.032,0,0
230.032,0,0
231.032,0,0
233.032,0,0
234.032,0,0
236.032,0,0
237.032,0,0
239.032,0,0
240.032,0,0
242.032,0,0
243.032,0,0
244.032,0,0
246.032,0,0
247.032,0,0
249.032,0,0
250.032,0,0
251.032,0,0
253.032,0,0
255.032,0,0
256.032,0,0
258.032,0,0
259.032,0,0
260.032,0,0
262.032,0,0
263.032,0,0
265.032,0,0
266.032,0,0
268.032,0,0
269.032,0,0
271.032,0,0
272.032,0,0
274.032,3.2481685,1.62408425
275.032,4.6065183,1.3583498
277.032,4.7195473,0.0565145
278.032,4.8109026,0.0913553
281.032,8.740122,1.3097398
284.032,13.016212,1.425363333
285.032,14.281607,1.265395
286.032,14.184688,-0.096919
287.032,14.701608,0.51692
288.032,15.69968,0.998072
289.032,16.658405,0.958725
290.032,17.498314,0.839909
291.032,17.415712,-0.082602
292.032,17.628784,0.213072
293.032,18.250214,0.62143
294.032,18.948212,0.697998
295.032,19.597544,0.649332
296.032,20.101685,0.504141
297.032,19.784367,-0.317318
298.032,18.874311,-0.910056
299.032,17.293308,-1.581003
300.032,15.144621,-2.148687
301.032,12.966357,-2.178264
302.032,11.014203,-1.952154
303.032,8.296084,-2.718119
304.032,5.1434093,-3.1526747
305.032,4.326673,-0.8167363
307.032,2.6866198,-0.8200266
308.032,2.3327963,-0.3538235
309.032,2.0095646,-0.3232317
310.032,1.9225345,-0.0870301
311.032,1.8960536,-0.0264809
312.032,2.218645,0.3225914
313.032,2.5186656,0.3000206
314.032,2.9636211,0.4449555
315.032,3.0982106,0.1345895
316.032,3.4188905,0.3206799
317.032,4.0973783,0.6784878
318.032,4.3062644,0.2088861
319.032,4.162685,-0.1435794
320.032,4.031071,-0.131614
321.032,4.223633,0.192562
322.032,4.8463354,0.6227024
323.032,5.074961,0.2286256
324.032,5.2196975,0.1447365
325.032,5.1198406,-0.0998569
326.032,5.1570325,0.0371919
327.032,4.09958,-1.0574525
328.032,4.183586,0.084006
329.032,4.361383,0.177797
330.032,3.9661005,-0.3952825
331.032,3.573395,-0.3927055
332.032,3.8938282,0.3204332
333.032,4.4673424,0.5735142
334.032,4.4904857,0.0231433
335.032,4.728105,0.2376193
336.032,4.6884065,-0.0396985
337.032,4.7068815,0.018475
338.032,4.6357155,-0.071166
339.032,3.8576274,-0.7780881
340.032,4.8546033,0.9969759
341.032,5.3523803,0.497777
342.032,5.8604217,0.5080414
343.032,6.171407,0.3109853
344.032,6.227848,0.056441
345.032,6.1058064,-0.1220416
346.032,5.803458,-0.3023484
347.032,5.2878747,-0.5155833
348.032,4.3498926,-0.9379821
349.032,4.100888,-0.2490046
350.032,3.705021,-0.395867
351.032,3.2884135,-0.4166075
352.032,3.198605,-0.0898085
353.032,3.3705742,0.1719692
354.032,3.378771,0.0081968
355.032,3.5178277,0.1390567
356.032,3.7499914,0.2321637
357.032,3.9116805,0.1616891
358.032,4.0680385,0.156358
359.032,3.9256995,-0.142339
360.032,3.7705586,-0.1551409
361.032,3.8109558,0.0403972
362.032,3.8719056,0.0609498
363.032,3.9426746,0.070769
364.032,4.036497,0.0938224
365.032,4.322799,0.286302
366.032,4.5538936,0.2310946
367.032,4.587913,0.0340194
368.032,4.50989,-0.078023
369.032,4.468567,-0.041323
370.032,4.435789,-0.032778
371.032,4.383599,-0.05219
372.032,4.730706,0.347107
373.032,4.631798,-0.098908
374.032,4.9957356,0.3639376
375.032,5.1131516,0.117416
376.032,5.2646403,0.1514887
377.032,5.298564,0.0339237
378.032,5.0498095,-0.2487545
379.032,5.2893686,0.2395591
380.032,5.514984,0.2256154
381.032,5.394723,-0.120261
382.032,5.4182544,0.0235314
383.032,4.9046807,-0.5135737
384.032,4.808861,-0.0958197
385.032,4.40262,-0.406241
386.032,3.9842904,-0.4183296
387.032,4.015529,0.0312386
388.032,3.142508,-0.873021
389.032,2.6360726,-0.5064354
390.032,2.1758583,-0.4602143
391.032,2.4347475,0.2588892
