time_seconds,speed_meters_per_second,acceleration_meters_per_second_squared
0,1.4070034,0
2,1.2899922,-0.0585056
3,1.2031494,-0.0868428
4,1.1009204,-0.102229
6,1.1169481,0.00801385
7,0.35544685,-0.76150125
8,0.08387315,-0.2715737
9,0.30850878,0.22463563
10,0.76512283,0.45661405
11,0.7643647,-0.00075813
12,0.75129676,-0.01306794
13,0.56617117,-0.18512559
14,0.3461472,-0.22002397
15,0.22557996,-0.12056724
17,0.0838103,-0.07088483
18,0.04943016,-0.03438014
20,0.025005477,-0.012212342
21,0.018383428,-0.006622049
22,0.02598363,0.007600202
23,0.03331669,0.00733306
24,0.1194552,0.08613851
25,0.16339764,0.04394244
26,0.14946522,-0.01393242
27,0.08909343,-0.06037179
28,0.07273322,-0.01636021
29,0.05155265,-0.02118057
31,0.051025234,-0.000263708
32,0.04589992,-0.005125314
33,0.051770464,0.005870544
34,0.036604878,-0.015165586
35,0.03293666,-0.003668218
36,0.02555361,-0.00738305
37,0.021040447,-0.004513163
38,0.01361039,-0.007430057
39,0.013602622,-7.77E-06
40,0.010931855,-0.002670767
41,0.007242899,-0.003688956
45,0.008526299,0.00032085
47,0.016938966,0.004206334
49,0.020093987,0.001577511
50,0.012260538,-0.007833449
52,0.022798253,0.005268858
53,0.018093243,-0.00470501
54,0.011166047,-0.006927196
55,0.016378982,0.005212935
56,0.019294329,0.002915347
57,0.018635562,-0.000658767
58,0.012513425,-0.006122137
59,0.020578431,0.008065006
60,0.014299226,-0.006279205
61,0.017013863,0.002714637
63,0.015177617,-0.000918123
64,0.0278797,0.012702083
66,0.02332739,-0.002276155
67,0.018368218,-0.004959172
68,0.018029884,-0.000338334
69,0.026148595,0.008118711
70,0.112949766,0.086801171
71,0.06410099,-0.048848776
72,0.04794249,-0.0161585
73,0.027728723,-0.020213767
74,0.0268665,-0.000862223
75,0.041968375,0.015101875
77,0.025143169,-0.008412603
78,0.015467035,-0.009676134
80,0.014728977,-0.000369029
81,0.016247515,0.001518538
82,0.010614695,-0.00563282
83,0.007017167,-0.003597528
84,0.011755661,0.004738494
85,0.009707689,-0.002047972
86,0.010954016,0.001246327
87,0.014550894,0.003596878
88,0.023728292,0.009177398
89,0.017215155,-0.006513137
90,0.011481907,-0.005733248
91,0.009281988,-0.002199919
92,0.008780135,-0.000501853
93,0.007597867,-0.001182269
94,0.020567471,0.012969605
95,0.012275822,-0.008291649
96,0.011331023,-0.000944799
97,0.009713016,-0.001618007
98,0.0210126,0.011299584
99,0.014582487,-0.006430113
101,0.01796214,0.001689827
102,0.015390858,-0.002571282
104,0.015054859,-0.000168
105,0.010013676,-0.005041183
106,0.008898698,-0.001114978
107,0.011652297,0.002753599
108,0.01536562,0.003713323
109,0.017762959,0.002397339
110,0.01664831,-0.001114649
111,0.019131673,0.002483363
112,0.010824074,-0.008307599
113,0.014663983,0.003839909
115,0.015848104,0.00059206
116,0.018473815,0.002625711
117,0.015962303,-0.002511512
118,0.021231258,0.005268955
119,0.01269022,-0.008541038
120,0.016463013,0.003772793
121,0.015267842,-0.001195171
122,0.01895683,0.003688989
123,0.016691629,-0.002265201
124,0.014641157,-0.002050472
125,0.015893977,0.00125282
126,0.014022823,-0.001871154
127,0.011158044,-0.002864779
128,0.00812429,-0.003033754
129,0.025725037,0.017600747
130,0.020423263,-0.005301774
131,0.014807452,-0.005615812
132,0.015740221,0.000932769
133,0.012005748,-0.003734473
134,0.014875682,0.002869934
135,0.015586888,0.000711206
137,0.015336187,-0.000125351
138,0.018399628,0.003063441
139,0.027594054,0.009194426
140,0.04462734,0.017033286
141,0.030577203,-0.014050137
142,0.05137472,0.020797517
143,0.033768456,-0.017606264
144,0.023168169,-0.010600287
145,0.017784702,-0.005383467
146,0.016181227,-0.001603475
147,0.0219438,0.005762573
148,0.02940747,0.00746367
149,0.020684496,-0.008722974
150,0.02809351,0.007409014
151,0.019692833,-0.008400677
152,0.022713453,0.00302062
153,0.01512477,-0.007588683
154,0.03841356,0.02328879
155,0.022254452,-0.016159108
156,0.013701774,-0.008552678
157,0.016951717,0.003249943
158,0.013271001,-0.003680716
159,0.008359849,-0.004911153
160,0.023404505,0.015044657
161,0.01650844,-0.006896065
162,0.014277338,-0.002231102
163,0.021632297,0.007354959
164,0.02071398,-0.000918317
165,0.015419906,-0.005294074
167,0.019434424,0.002007259
168,0.014476663,-0.004957761
170,0.010728203,-0.00187423
171,0.020468777,0.009740574
173,0.01118175,-0.004643514
174,0.01604163,0.00485988
176,0.018606547,0.001282459
177,0.014245982,-0.004360565
178,0.025252825,0.011006843
179,0.018144209,-0.007108616
180,0.016885854,-0.001258355
182,0.012436112,-0.002224871
183,0.018031038,0.005594926
185,0.010821722,-0.003604658
186,0.02017893,0.009357209
188,0.017499952,-0.001339489
189,0.017586838,8.69E-05
190,0.021951113,0.004364275
192,0.013631772,-0.004159671
193,0.013682243,5.05E-05
195,0.5159371,0.251127429
196,1.1646509,0.6487138
198,2.123861,0.47960505
199,2.5894432,0.4655822
201,3.6553874,0.5329721
202,3.9714808,0.3160934
203,4.1760764,0.2045956
204,4.362699,0.1866226
205,4.5775948,0.2148958
206,7.6965265,3.1189317
207,8.444502,0.7479755
208,9.313962,0.86946
209,10.186378,0.872416
210,10.594782,0.408404
211,10.228497,-0.366285
214,11.740802,0.504101667
215,12.625615,0.884813
216,13.559067,0.933452
217,14.426346,0.867279
