time_seconds,speed_meters_per_second,acceleration_meters_per_second_squared,Acceleration_Type,Deceleration_Type,Good_Driver
2,0,-0.026637504,,Smooth Deceleration,TRUE
7,0,0,Stationary,Stationary,FALSE
8,0,0,Stationary,Stationary,FALSE
9,0,0,Stationary,Stationary,FALSE
10,0,0,Stationary,Stationary,FALSE
11,0,0,Stationary,Stationary,FALSE
12,0,0,Stationary,Stationary,FALSE
13,0,0,Stationary,Stationary,FALSE
14,0,0,Stationary,Stationary,FALSE
15,0.10140178,0.10140178,Smooth Acceleration,,TRUE
16,0.056577712,-0.044824068,,Smooth Deceleration,TRUE
17,0.033049334,-0.023528378,,Smooth Deceleration,TRUE
19,0.014422788,-0.009313273,,Smooth Deceleration,TRUE
20,0.022567842,0.008145054,Smooth Acceleration,,TRUE
22,0.012744946,-0.004911448,,Smooth Deceleration,TRUE
23,0.009266041,-0.003478905,,Smooth Deceleration,TRUE
24,0.007163984,-0.002102057,,Smooth Deceleration,TRUE
26,0.005575264,-0.00079436,,Smooth Deceleration,TRUE
27,0.003451408,-0.002123856,,Smooth Deceleration,TRUE
29,0.005236584,0.000892588,Smooth Acceleration,,TRUE
30,0.004776117,-0.000460467,,Smooth Deceleration,TRUE
32,0.016679863,0.005951873,Smooth Acceleration,,TRUE
33,0.010623721,-0.006056142,,Smooth Deceleration,TRUE
34,0.00645793,-0.004165791,,Smooth Deceleration,TRUE
35,0.00384772,-0.00261021,,Smooth Deceleration,TRUE
36,0.003402715,-0.000445005,,Smooth Deceleration,TRUE
37,0.003064654,-0.000338061,,Smooth Deceleration,TRUE
38,0.005290777,0.002226123,Smooth Acceleration,,TRUE
39,0.00680291,0.001512132,Smooth Acceleration,,TRUE
40,0.006504585,-0.000298324,,Smooth Deceleration,TRUE
41,0.006575307,7.07E-05,Smooth Acceleration,,TRUE
42,0.007208326,0.000633019,Smooth Acceleration,,TRUE
43,0.005444904,-0.001763422,,Smooth Deceleration,TRUE
44,0.007071925,0.001627021,Smooth Acceleration,,TRUE
46,0.00617921,-0.000446358,,Smooth Deceleration,TRUE
47,0.005661708,-0.000517502,,Smooth Deceleration,TRUE
49,0.006693967,0.000516129,Smooth Acceleration,,TRUE
50,0.007275528,0.000581562,Smooth Acceleration,,TRUE
51,0.005012856,-0.002262672,,Smooth Deceleration,TRUE
53,0.006160361,0.000573752,Smooth Acceleration,,TRUE
54,0.005289958,-0.000870403,,Smooth Deceleration,TRUE
56,0.007246581,0.000978312,Smooth Acceleration,,TRUE
57,0.005336182,-0.001910399,,Smooth Deceleration,TRUE
59,0.010138623,0.00240122,Smooth Acceleration,,TRUE
60,0.006220433,-0.003918189,,Smooth Deceleration,TRUE
62,0.004388425,-0.000916004,,Smooth Deceleration,TRUE
63,0.003743022,-0.000645403,,Smooth Deceleration,TRUE
65,0.00691804,0.001587509,Smooth Acceleration,,TRUE
66,0.005190951,-0.001727089,,Smooth Deceleration,TRUE
68,0.00773618,0.001272614,Smooth Acceleration,,TRUE
69,0.007298017,-0.000438163,,Smooth Deceleration,TRUE
71,0.006220039,-0.000538989,,Smooth Deceleration,TRUE
72,0.008256017,0.002035978,Smooth Acceleration,,TRUE
74,0.027174877,0.00945943,Smooth Acceleration,,TRUE
75,0.019135956,-0.008038921,,Smooth Deceleration,TRUE
76,0.010930963,-0.008204993,,Smooth Deceleration,TRUE
78,0.008121336,-0.001404814,,Smooth Deceleration,TRUE
79,0.007735534,-0.000385802,,Smooth Deceleration,TRUE
81,0.008312891,0.000288678,Smooth Acceleration,,TRUE
82,0.006298441,-0.00201445,,Smooth Deceleration,TRUE
83,0.005128986,-0.001169456,,Smooth Deceleration,TRUE
84,0.005299833,0.000170847,Smooth Acceleration,,TRUE
85,0.004812425,-0.000487408,,Smooth Deceleration,TRUE
86,0.004397067,-0.000415358,,Smooth Deceleration,TRUE
87,0.005542196,0.001145129,Smooth Acceleration,,TRUE
88,0.006763425,0.001221229,Smooth Acceleration,,TRUE
89,0.006207266,-0.000556159,,Smooth Deceleration,TRUE
90,0.005580023,-0.000627243,,Smooth Deceleration,TRUE
91,0.005464532,-0.000115491,,Smooth Deceleration,TRUE
92,0.006021432,0.0005569,Smooth Acceleration,,TRUE
93,0.004274451,-0.001746981,,Smooth Deceleration,TRUE
95,0.006525377,0.001125463,Smooth Acceleration,,TRUE
96,0.004392585,-0.002132792,,Smooth Deceleration,TRUE
98,0.008317395,0.001962405,Smooth Acceleration,,TRUE
99,0.009127741,0.000810346,Smooth Acceleration,,TRUE
101,0.009430938,0.000151598,Smooth Acceleration,,TRUE
102,0.006526321,-0.002904617,,Smooth Deceleration,TRUE
104,0.014459572,0.003966626,Smooth Acceleration,,TRUE
105,0.010425471,-0.004034101,,Smooth Deceleration,TRUE
106,0.007219286,-0.003206185,,Smooth Deceleration,TRUE
107,0.007333229,0.000113944,Smooth Acceleration,,TRUE
108,0.008160071,0.000826842,Smooth Acceleration,,TRUE
109,0.006387329,-0.001772742,,Smooth Deceleration,TRUE
110,0.005079954,-0.001307375,,Smooth Deceleration,TRUE
111,0.006101205,0.001021251,Smooth Acceleration,,TRUE
112,0.005478006,-0.000623199,,Smooth Deceleration,TRUE
113,0.006026279,0.000548272,Smooth Acceleration,,TRUE
114,0.007732545,0.001706266,Smooth Acceleration,,TRUE
115,0.0068664,-0.000866145,,Smooth Deceleration,TRUE
117,0.005145509,-0.000860445,,Smooth Deceleration,TRUE
118,0.004211153,-0.000934356,,Smooth Deceleration,TRUE
120,0.005653969,0.000721408,Smooth Acceleration,,TRUE
121,0.005491193,-0.000162776,,Smooth Deceleration,TRUE
123,0.011352835,0.002930821,Smooth Acceleration,,TRUE
124,0.008324196,-0.003028639,,Smooth Deceleration,TRUE
125,0.006855679,-0.001468517,,Smooth Deceleration,TRUE
126,0.006733132,-0.000122547,,Smooth Deceleration,TRUE
127,0.006166964,-0.000566168,,Smooth Deceleration,TRUE
128,0.011724102,0.005557138,Smooth Acceleration,,TRUE
129,0.011723407,-6.95E-07,,Smooth Deceleration,TRUE
130,0.007896191,-0.003827216,,Smooth Deceleration,TRUE
131,0.006117126,-0.001779065,,Smooth Deceleration,TRUE
132,0.006219313,0.000102187,Smooth Acceleration,,TRUE
133,0.005998852,-0.000220461,,Smooth Deceleration,TRUE
134,0.007017244,0.001018392,Smooth Acceleration,,TRUE
135,0.005648708,-0.001368535,,Smooth Deceleration,TRUE
136,0.005503676,-0.000145032,,Smooth Deceleration,TRUE
137,0.003907466,-0.00159621,,Smooth Deceleration,TRUE
138,0.005981363,0.002073897,Smooth Acceleration,,TRUE
139,0.005312024,-0.00066934,,Smooth Deceleration,TRUE
140,0.005270687,-4.13E-05,,Smooth Deceleration,TRUE
141,0.004983252,-0.000287435,,Smooth Deceleration,TRUE
142,0.004379726,-0.000603526,,Smooth Deceleration,TRUE
143,0.004352108,-2.76E-05,,Smooth Deceleration,TRUE
145,0.004522821,8.54E-05,Smooth Acceleration,,TRUE
146,0.006214006,0.001691185,Smooth Acceleration,,TRUE
148,0.004810105,-0.000701951,,Smooth Deceleration,TRUE
149,0.004594749,-0.000215356,,Smooth Deceleration,TRUE
150,0.006266764,0.001672015,Smooth Acceleration,,TRUE
151,0.005442092,-0.000824673,,Smooth Deceleration,TRUE
152,0.003915556,-0.001526536,,Smooth Deceleration,TRUE
153,0.002525716,-0.00138984,,Smooth Deceleration,TRUE
154,0.006341435,0.003815719,Smooth Acceleration,,TRUE
155,0.004834306,-0.001507129,,Smooth Deceleration,TRUE
156,0.004201248,-0.000633058,,Smooth Deceleration,TRUE
157,0.003143305,-0.001057943,,Smooth Deceleration,TRUE
158,0.013770038,0.010626733,Smooth Acceleration,,TRUE
159,0.007771029,-0.005999009,,Smooth Deceleration,TRUE
161,0.006341425,-0.000714802,,Smooth Deceleration,TRUE
162,0.008911841,0.002570416,Smooth Acceleration,,TRUE
163,0.005026563,-0.003885278,,Smooth Deceleration,TRUE
165,0.011327256,0.003150347,Smooth Acceleration,,TRUE
166,0.00711017,-0.004217086,,Smooth Deceleration,TRUE
167,0.006699718,-0.000410452,,Smooth Deceleration,TRUE
169,0.008528782,0.000914532,Smooth Acceleration,,TRUE
170,0.00660783,-0.001920952,,Smooth Deceleration,TRUE
172,0.007009689,0.00020093,Smooth Acceleration,,TRUE
173,0.00461218,-0.002397509,,Smooth Deceleration,TRUE
174,0.007321652,0.002709472,Smooth Acceleration,,TRUE
176,0.007094103,-0.000113774,,Smooth Deceleration,TRUE
177,0.008172843,0.00107874,Smooth Acceleration,,TRUE
178,0.007813916,-0.000358927,,Smooth Deceleration,TRUE
179,0.005916247,-0.001897669,,Smooth Deceleration,TRUE
180,0.006305955,0.000389708,Smooth Acceleration,,TRUE
182,0.007511746,0.000602895,Smooth Acceleration,,TRUE
183,0.005789588,-0.001722158,,Smooth Deceleration,TRUE
185,0.006732529,0.00047147,Smooth Acceleration,,TRUE
186,0.005991676,-0.000740853,,Smooth Deceleration,TRUE
188,0.007024892,0.000516608,Smooth Acceleration,,TRUE
189,0.00479785,-0.002227041,,Smooth Deceleration,TRUE
191,0.008167012,0.001684581,Smooth Acceleration,,TRUE
192,0.005111691,-0.003055321,,Smooth Deceleration,TRUE
193,0.005123327,1.16E-05,Smooth Acceleration,,TRUE
195,0.29153633,0.143206502,Smooth Acceleration,,TRUE
196,0.7176349,0.42609857,Smooth Acceleration,,TRUE
198,1.7937591,0.5380621,Smooth Acceleration,,TRUE
199,2.4579337,0.6641746,Smooth Acceleration,,TRUE
200,3.236828,0.7788943,Smooth Acceleration,,TRUE
202,4.299495,0.5313335,Smooth Acceleration,,TRUE
203,8.194791,3.895296,Rapid Acceleration,,FALSE
205,10.885384,1.3452965,Rapid Acceleration,,FALSE
206,11.802369,0.916985,Smooth Acceleration,,TRUE
208,11.827536,0.0125835,Smooth Acceleration,,TRUE
209,12.219478,0.391942,Smooth Acceleration,,TRUE
210,12.489938,0.27046,Smooth Acceleration,,TRUE
211,13.021008,0.53107,Smooth Acceleration,,TRUE
214,15.143607,0.707533,Smooth Acceleration,,TRUE
215,15.863926,0.720319,Smooth Acceleration,,TRUE
216,16.560097,0.696171,Smooth Acceleration,,TRUE
217,16.64747,0.087373,Smooth Acceleration,,TRUE
222,17.14895,0.100296,Smooth Acceleration,,TRUE
223,17.503235,0.354285,Smooth Acceleration,,TRUE
224,17.874756,0.371521,Smooth Acceleration,,TRUE
225,18.23089,0.356134,Smooth Acceleration,,TRUE
226,18.548683,0.317793,Smooth Acceleration,,TRUE
227,18.797626,0.248943,Smooth Acceleration,,TRUE
228,19.040733,0.243107,Smooth Acceleration,,TRUE
229,19.261515,0.220782,Smooth Acceleration,,TRUE
230,19.49491,0.233395,Smooth Acceleration,,TRUE
231,19.700632,0.205722,Smooth Acceleration,,TRUE
232,19.518322,-0.18231,,Smooth Deceleration,TRUE
233,19.144136,-0.374186,,Smooth Deceleration,TRUE
234,18.913658,-0.230478,,Smooth Deceleration,TRUE
235,19.14791,0.234252,Smooth Acceleration,,TRUE
236,19.57192,0.42401,Smooth Acceleration,,TRUE
237,19.98923,0.41731,Smooth Acceleration,,TRUE
238,20.376606,0.387376,Smooth Acceleration,,TRUE
239,20.766132,0.389526,Smooth Acceleration,,TRUE
240,21.08639,0.320258,Smooth Acceleration,,TRUE
241,21.362045,0.275655,Smooth Acceleration,,TRUE
242,21.610798,0.248753,Smooth Acceleration,,TRUE
243,21.831493,0.220695,Smooth Acceleration,,TRUE
244,22.031038,0.199545,Smooth Acceleration,,TRUE
245,22.342094,0.311056,Smooth Acceleration,,TRUE
246,22.504374,0.16228,Smooth Acceleration,,TRUE
247,22.735695,0.231321,Smooth Acceleration,,TRUE
248,22.814823,0.079128,Smooth Acceleration,,TRUE
249,23.269627,0.454804,Smooth Acceleration,,TRUE
250,23.49478,0.225153,Smooth Acceleration,,TRUE
251,23.787836,0.293056,Smooth Acceleration,,TRUE
252,23.96746,0.179624,Smooth Acceleration,,TRUE
253,24.305658,0.338198,Smooth Acceleration,,TRUE
254,24.46626,0.160602,Smooth Acceleration,,TRUE
255,24.650892,0.184632,Smooth Acceleration,,TRUE
256,24.79771,0.146818,Smooth Acceleration,,TRUE
257,24.836206,0.038496,Smooth Acceleration,,TRUE
258,24.550488,-0.285718,,Smooth Deceleration,TRUE
259,24.105986,-0.444502,,Smooth Deceleration,TRUE
260,23.72268,-0.383306,,Smooth Deceleration,TRUE
261,23.148829,-0.573851,,Smooth Deceleration,TRUE
262,22.987818,-0.161011,,Smooth Deceleration,TRUE
263,22.611122,-0.376696,,Smooth Deceleration,TRUE
264,22.401613,-0.209509,,Smooth Deceleration,TRUE
265,22.441221,0.039608,Smooth Acceleration,,TRUE
266,22.837078,0.395857,Smooth Acceleration,,TRUE
267,22.933006,0.095928,Smooth Acceleration,,TRUE
268,23.19452,0.261514,Smooth Acceleration,,TRUE
269,23.51227,0.31775,Smooth Acceleration,,TRUE
270,23.790468,0.278198,Smooth Acceleration,,TRUE
271,23.817636,0.027168,Smooth Acceleration,,TRUE
272,23.75534,-0.062296,,Smooth Deceleration,TRUE
273,23.783955,0.028615,Smooth Acceleration,,TRUE
274,23.802567,0.018612,Smooth Acceleration,,TRUE
275,23.835745,0.033178,Smooth Acceleration,,TRUE
276,23.814949,-0.020796,,Smooth Deceleration,TRUE
277,23.818476,0.003527,Smooth Acceleration,,TRUE
278,23.754562,-0.063914,,Smooth Deceleration,TRUE
279,23.78968,0.035118,Smooth Acceleration,,TRUE
280,23.73127,-0.05841,,Smooth Deceleration,TRUE
281,23.694138,-0.037132,,Smooth Deceleration,TRUE
282,23.461283,-0.232855,,Smooth Deceleration,TRUE
283,23.538643,0.07736,Smooth Acceleration,,TRUE
284,23.601742,0.063099,Smooth Acceleration,,TRUE
285,23.761223,0.159481,Smooth Acceleration,,TRUE
286,23.869337,0.108114,Smooth Acceleration,,TRUE
287,23.953712,0.084375,Smooth Acceleration,,TRUE
288,23.95087,-0.002842,,Smooth Deceleration,TRUE
289,23.809229,-0.141641,,Smooth Deceleration,TRUE
290,23.559923,-0.249306,,Smooth Deceleration,TRUE
291,23.35067,-0.209253,,Smooth Deceleration,TRUE
292,23.119675,-0.230995,,Smooth Deceleration,TRUE
293,23.165886,0.046211,Smooth Acceleration,,TRUE
294,23.775566,0.60968,Smooth Acceleration,,TRUE
295,23.821573,0.046007,Smooth Acceleration,,TRUE
296,24.110085,0.288512,Smooth Acceleration,,TRUE
297,24.121445,0.01136,Smooth Acceleration,,TRUE
298,24.086374,-0.035071,,Smooth Deceleration,TRUE
299,24.331371,0.244997,Smooth Acceleration,,TRUE
300,24.841211,0.50984,Smooth Acceleration,,TRUE
301,25.028164,0.186953,Smooth Acceleration,,TRUE
302,25.07596,0.047796,Smooth Acceleration,,TRUE
303,25.018438,-0.057522,,Smooth Deceleration,TRUE
304,24.84375,-0.174688,,Smooth Deceleration,TRUE
305,24.625134,-0.218616,,Smooth Deceleration,TRUE
306,24.831553,0.206419,Smooth Acceleration,,TRUE
307,24.956968,0.125415,Smooth Acceleration,,TRUE
308,25.364042,0.407074,Smooth Acceleration,,TRUE
309,25.476555,0.112513,Smooth Acceleration,,TRUE
310,25.585955,0.1094,Smooth Acceleration,,TRUE
311,25.53902,-0.046935,,Smooth Deceleration,TRUE
312,25.474117,-0.064903,,Smooth Deceleration,TRUE
313,25.452766,-0.021351,,Smooth Deceleration,TRUE
314,25.433973,-0.018793,,Smooth Deceleration,TRUE
315,25.421959,-0.012014,,Smooth Deceleration,TRUE
316,25.373564,-0.048395,,Smooth Deceleration,TRUE
317,25.205263,-0.168301,,Smooth Deceleration,TRUE
318,24.978125,-0.227138,,Smooth Deceleration,TRUE
319,24.88597,-0.092155,,Smooth Deceleration,TRUE
320,24.927656,0.041686,Smooth Acceleration,,TRUE
321,25.023962,0.096306,Smooth Acceleration,,TRUE
322,25.047358,0.023396,Smooth Acceleration,,TRUE
323,25.036474,-0.010884,,Smooth Deceleration,TRUE
324,25.041964,0.00549,Smooth Acceleration,,TRUE
325,25.079254,0.03729,Smooth Acceleration,,TRUE
326,25.270601,0.191347,Smooth Acceleration,,TRUE
327,25.288774,0.018173,Smooth Acceleration,,TRUE
328,25.363703,0.074929,Smooth Acceleration,,TRUE
329,25.435883,0.07218,Smooth Acceleration,,TRUE
330,25.387753,-0.04813,,Smooth Deceleration,TRUE
331,25.204044,-0.183709,,Smooth Deceleration,TRUE
332,25.38255,0.178506,Smooth Acceleration,,TRUE
333,25.508295,0.125745,Smooth Acceleration,,TRUE
334,25.667856,0.159561,Smooth Acceleration,,TRUE
335,25.970556,0.3027,Smooth Acceleration,,TRUE
