time_seconds,speed_meters_per_second,acceleration_meters_per_second_squared,Acceleration_Type,Deceleration_Type,Good_Driver
0.991000064,0.19645077,-0.116940124,,Smooth Deceleration,TRUE
1.991000064,0.084127426,-0.112323344,,Smooth Deceleration,TRUE
3.002000128,0.022005472,-0.061446044,,Smooth Deceleration,TRUE
4.002000128,0,-0.022005472,,Smooth Deceleration,TRUE
5.002000128,0,0,Stationary,Stationary,FALSE
5.503000064,0,0,Stationary,Stationary,FALSE
6.503000064,0,0,Stationary,Stationary,FALSE
7.503000064,0,0,Stationary,Stationary,FALSE
8.503000064,0,0,Stationary,Stationary,FALSE
10.50300006,0,0,Stationary,Stationary,FALSE
11.50300006,0,0,Stationary,Stationary,FALSE
12.50300006,0,0,Stationary,Stationary,FALSE
13.50300006,0,0,Stationary,Stationary,FALSE
14.50300006,0,0,Stationary,Stationary,FALSE
15.50300006,0,0,Stationary,Stationary,FALSE
16.50300006,0,0,Stationary,Stationary,FALSE
17.50300006,0,0,Stationary,Stationary,FALSE
18.50300006,0,0,Stationary,Stationary,FALSE
19.50300006,0,0,Stationary,Stationary,FALSE
22.50300006,0,0,Stationary,Stationary,FALSE
23.50300006,0,0,Stationary,Stationary,FALSE
24.50300006,0,0,Stationary,Stationary,FALSE
25.50300006,0,0,Stationary,Stationary,FALSE
26.50300006,0,0,Stationary,Stationary,FALSE
27.50300006,0,0,Stationary,Stationary,FALSE
28.50300006,0.005939261,0.005939261,Smooth Acceleration,,TRUE
29.50300006,0.004222008,-0.001717252,,Smooth Deceleration,TRUE
30.50300006,0,-0.004222008,,Smooth Deceleration,TRUE
31.50300006,0.007599087,0.007599087,Smooth Acceleration,,TRUE
32.50300006,0.001158973,-0.006440114,,Smooth Deceleration,TRUE
33.50300006,0.003503266,0.002344294,Smooth Acceleration,,TRUE
34.50300006,0,-0.003503266,,Smooth Deceleration,TRUE
35.50300006,0.004275492,0.004275492,Smooth Acceleration,,TRUE
36.50300006,0.004298567,2.31E-05,Smooth Acceleration,,TRUE
37.50300006,0.001005357,-0.00329321,,Smooth Deceleration,TRUE
38.50300006,0.001025869,2.05E-05,Smooth Acceleration,,TRUE
39.50300006,0.026785964,0.025760096,Smooth Acceleration,,TRUE
42.50300006,0.008313149,-0.006157605,,Smooth Deceleration,TRUE
43.50300006,0.005759335,-0.002553814,,Smooth Deceleration,TRUE
44.50300006,0.005512578,-0.000246756,,Smooth Deceleration,TRUE
45.50300006,0.036731027,0.031218449,Smooth Acceleration,,TRUE
46.50300006,0.007930825,-0.028800203,,Smooth Deceleration,TRUE
47.50300006,0.002482508,-0.005448317,,Smooth Deceleration,TRUE
48.50300006,0.001685018,-0.00079749,,Smooth Deceleration,TRUE
49.50300006,0.012255227,0.010570209,Smooth Acceleration,,TRUE
51.50300006,0.02135123,0.004548001,Smooth Acceleration,,TRUE
52.50300006,0.007165254,-0.014185976,,Smooth Deceleration,TRUE
53.50300006,0.00662545,-0.000539804,,Smooth Deceleration,TRUE
54.50300006,0.00652305,-0.0001024,,Smooth Deceleration,TRUE
55.50300006,0.000873815,-0.005649235,,Smooth Deceleration,TRUE
56.50300006,0.002279865,0.00140605,Smooth Acceleration,,TRUE
57.50300006,0.004523255,0.00224339,Smooth Acceleration,,TRUE
58.50300006,0.010487543,0.005964289,Smooth Acceleration,,TRUE
59.50300006,0.008737126,-0.001750417,,Smooth Deceleration,TRUE
60.50300006,0.007239065,-0.001498061,,Smooth Deceleration,TRUE
61.50300006,0.002696639,-0.004542426,,Smooth Deceleration,TRUE
62.50300006,0.00496053,0.002263891,Smooth Acceleration,,TRUE
64.50300006,0.00463206,-0.000164235,,Smooth Deceleration,TRUE
65.50300006,0.004093101,-0.000538958,,Smooth Deceleration,TRUE
66.50300006,0.005897502,0.0018044,Smooth Acceleration,,TRUE
67.50300006,0.001955821,-0.003941681,,Smooth Deceleration,TRUE
68.50300006,0.00913056,0.007174739,Smooth Acceleration,,TRUE
69.50300006,0,-0.00913056,,Smooth Deceleration,TRUE
70.50300006,0.007479689,0.007479689,Smooth Acceleration,,TRUE
71.50300006,0.01346275,0.005983061,Smooth Acceleration,,TRUE
72.50300006,0.007474791,-0.005987959,,Smooth Deceleration,TRUE
75.50300006,0.02795466,0.006826623,Smooth Acceleration,,TRUE
76.50300006,0.01439175,-0.01356291,,Smooth Deceleration,TRUE
77.50300006,0.007051129,-0.007340621,,Smooth Deceleration,TRUE
78.50300006,0.009990873,0.002939744,Smooth Acceleration,,TRUE
79.50300006,0.004938357,-0.005052516,,Smooth Deceleration,TRUE
80.50300006,0.002854066,-0.00208429,,Smooth Deceleration,TRUE
81.50300006,0.004615681,0.001761615,Smooth Acceleration,,TRUE
82.50300006,0.00150519,-0.003110491,,Smooth Deceleration,TRUE
83.50300006,0.00644514,0.00493995,Smooth Acceleration,,TRUE
84.50300006,0.003146754,-0.003298386,,Smooth Deceleration,TRUE
86.50300006,0.005134911,0.000994079,Smooth Acceleration,,TRUE
87.50300006,0.007499766,0.002364855,Smooth Acceleration,,TRUE
89.50300006,0.016283112,0.004391673,Smooth Acceleration,,TRUE
90.50300006,0.014352905,-0.001930207,,Smooth Deceleration,TRUE
92.50300006,0.007174266,-0.003589319,,Smooth Deceleration,TRUE
93.50300006,0.024483668,0.017309402,Smooth Acceleration,,TRUE
