time_seconds,speed_meters_per_second,acceleration_meters_per_second_squared,Acceleration_Type,Deceleration_Type,Good_Driver
2,1.2899922,-0.0585056,,Smooth Deceleration,TRUE
3,1.2031494,-0.0868428,,Smooth Deceleration,TRUE
4,1.1009204,-0.102229,,Smooth Deceleration,TRUE
6,1.1169481,0.00801385,Smooth Acceleration,,TRUE
7,0.35544685,-0.76150125,,Smooth Deceleration,TRUE
8,0.08387315,-0.2715737,,Smooth Deceleration,TRUE
9,0.30850878,0.22463563,Smooth Acceleration,,TRUE
10,0.76512283,0.45661405,Smooth Acceleration,,TRUE
11,0.7643647,-0.00075813,,Smooth Deceleration,TRUE
12,0.75129676,-0.01306794,,Smooth Deceleration,TRUE
13,0.56617117,-0.18512559,,Smooth Deceleration,TRUE
14,0.3461472,-0.22002397,,Smooth Deceleration,TRUE
15,0.22557996,-0.12056724,,Smooth Deceleration,TRUE
17,0.0838103,-0.07088483,,Smooth Deceleration,TRUE
18,0.04943016,-0.03438014,,Smooth Deceleration,TRUE
20,0.025005477,-0.012212342,,Smooth Deceleration,TRUE
21,0.018383428,-0.006622049,,Smooth Deceleration,TRUE
22,0.02598363,0.007600202,Smooth Acceleration,,TRUE
23,0.03331669,0.00733306,Smooth Acceleration,,TRUE
24,0.1194552,0.08613851,Smooth Acceleration,,TRUE
25,0.16339764,0.04394244,Smooth Acceleration,,TRUE
26,0.14946522,-0.01393242,,Smooth Deceleration,TRUE
27,0.08909343,-0.06037179,,Smooth Deceleration,TRUE
28,0.07273322,-0.01636021,,Smooth Deceleration,TRUE
29,0.05155265,-0.02118057,,Smooth Deceleration,TRUE
31,0.051025234,-0.000263708,,Smooth Deceleration,TRUE
32,0.04589992,-0.005125314,,Smooth Deceleration,TRUE
33,0.051770464,0.005870544,Smooth Acceleration,,TRUE
34,0.036604878,-0.015165586,,Smooth Deceleration,TRUE
35,0.03293666,-0.003668218,,Smooth Deceleration,TRUE
36,0.02555361,-0.00738305,,Smooth Deceleration,TRUE
37,0.021040447,-0.004513163,,Smooth Deceleration,TRUE
38,0.01361039,-0.007430057,,Smooth Deceleration,TRUE
39,0.013602622,-7.77E-06,,Smooth Deceleration,TRUE
40,0.010931855,-0.002670767,,Smooth Deceleration,TRUE
41,0.007242899,-0.003688956,,Smooth Deceleration,TRUE
45,0.008526299,0.00032085,Smooth Acceleration,,TRUE
47,0.016938966,0.004206334,Smooth Acceleration,,TRUE
49,0.020093987,0.001577511,Smooth Acceleration,,TRUE
50,0.012260538,-0.007833449,,Smooth Deceleration,TRUE
52,0.022798253,0.005268858,Smooth Acceleration,,TRUE
53,0.018093243,-0.00470501,,Smooth Deceleration,TRUE
54,0.011166047,-0.006927196,,Smooth Deceleration,TRUE
55,0.016378982,0.005212935,Smooth Acceleration,,TRUE
56,0.019294329,0.002915347,Smooth Acceleration,,TRUE
57,0.018635562,-0.000658767,,Smooth Deceleration,TRUE
58,0.012513425,-0.006122137,,Smooth Deceleration,TRUE
59,0.020578431,0.008065006,Smooth Acceleration,,TRUE
60,0.014299226,-0.006279205,,Smooth Deceleration,TRUE
